,Date,Company,Title,Location,Link
618,2023-04-20,BMW Group,Intern in the area of the enablement of autonomous driving development (w/m/x),München,https://de.linkedin.com/jobs/view/intern-in-the-area-of-the-enablement-of-autonomous-driving-development-w-m-x-at-bmw-group-3577652122?refId=1r2g7HfJam55s%2FomgOOSEg%3D%3D&trackingId=RkDfjskcYax%2FI74c%2BcEsMw%3D%3D&position=22&pageNum=6&trk=public_jobs_jserp-result_search-card
619,2023-03-29,Deutsches Zentrum für Luft-und Raumfahrt e.V.,"Engineer electrical engineering, robotics, computer science or similar (f/m/x)",Neustrelitz,https://de.linkedin.com/jobs/view/engineer-electrical-engineering-robotics-computer-science-or-similar-f-m-x-at-deutsches-zentrum-f%C3%BCr-luft-und-raumfahrt-e-v-3581403618?refId=PjnUTrkXa8%2FjSkHeJp4ASg%3D%3D&trackingId=VkoSh7WVCzs3EZHR9QWuMQ%3D%3D&position=2&pageNum=7&trk=public_jobs_jserp-result_search-card
620,2023-04-22,ROBOVIS,TECHNICAL PROJECT MANAGER,Berlin,https://de.linkedin.com/jobs/view/technical-project-manager-at-robovis-3577864377?refId=qJWwQymwYLAn5wg1qF3k5g%3D%3D&trackingId=FaEUiSKgoiIuKdmvNEkndg%3D%3D&position=25&pageNum=24&trk=public_jobs_jserp-result_search-card
621,2023-04-10,BMW Group,Trainee IT (f/m/x),München,https://de.linkedin.com/jobs/view/trainee-it-f-m-x-at-bmw-group-3563709623?refId=dimmckFMmXI86%2BeSJr6h8g%3D%3D&trackingId=tr4wAsrsCp83YxzLsOAmUQ%3D%3D&position=2&pageNum=3&trk=public_jobs_jserp-result_search-card
622,2023-04-25,Ubica Robotics GmbH,Frontend-Softwareentwickler Roboter-Cloud (m/w/d),Bremen,https://de.linkedin.com/jobs/view/frontend-softwareentwickler-roboter-cloud-m-w-d-at-ubica-robotics-gmbh-3582002282?refId=IV3FDyQc4MJvv9mTDfJBsg%3D%3D&trackingId=bx6nMIBclMGC0ZqxVC39GQ%3D%3D&position=13&pageNum=33&trk=public_jobs_jserp-result_search-card
623,2023-04-13,SYNERGIE Personal Deutschland GmbH,Mechatroniker (m/w/d),Waldenburg,https://de.linkedin.com/jobs/view/mechatroniker-m-w-d-at-synergie-personal-deutschland-gmbh-3568786702?refId=qJWwQymwYLAn5wg1qF3k5g%3D%3D&trackingId=mpmEUuqeN1hVwxkIICMcYA%3D%3D&position=15&pageNum=24&trk=public_jobs_jserp-result_search-card
624,2023-03-31,MAN Truck & Bus SE,Motor vehicle mechatronics technician (m/f/d) - specialisation commercial vehicle technology,Laatzen,https://de.linkedin.com/jobs/view/motor-vehicle-mechatronics-technician-m-f-d-specialisation-commercial-vehicle-technology-at-man-truck-bus-se-3586358993?refId=M%2B5E6KvfDGl5BmwdgZ%2FxBQ%3D%3D&trackingId=0iFVClTpUJTu62q5KgJD5w%3D%3D&position=13&pageNum=19&trk=public_jobs_jserp-result_search-card
625,2023-04-23,ZELTWANGER Gruppe,Softwareentwickler SPS und Robotik (m/w/d),Dusslingen,https://de.linkedin.com/jobs/view/softwareentwickler-sps-und-robotik-m-w-d-at-zeltwanger-gruppe-3575080362?refId=ccIiWxxHLIjpLY0cpC07fw%3D%3D&trackingId=SUAFA6E9XLrgskHWQ25Z2w%3D%3D&position=2&pageNum=17&trk=public_jobs_jserp-result_search-card
626,2023-03-13,Knauf Gips KG,Mechatroniker (m/w/d),Iphofen,https://de.linkedin.com/jobs/view/mechatroniker-m-w-d-at-knauf-gips-kg-3557917412?refId=M%2B5E6KvfDGl5BmwdgZ%2FxBQ%3D%3D&trackingId=6wOdym2Jff64vJhyg1Mr4A%3D%3D&position=12&pageNum=19&trk=public_jobs_jserp-result_search-card
627,2023-03-29,BITZER,MECHATRONIKER (M/W/D),Rottenburg am Neckar,https://de.linkedin.com/jobs/view/mechatroniker-m-w-d-at-bitzer-3582528534?refId=LKzorFTRZoy8hga535jdBw%3D%3D&trackingId=%2FTi1aUdK9kKNCYL2QADkng%3D%3D&position=12&pageNum=27&trk=public_jobs_jserp-result_search-card
628,2023-04-13,AlphaConsult KG,Mechatroniker (m/w/d),Kemnath,https://de.linkedin.com/jobs/view/mechatroniker-m-w-d-at-alphaconsult-kg-3562242371?refId=LKzorFTRZoy8hga535jdBw%3D%3D&trackingId=NkqZ%2ByKMUOHcdzki39jRsA%3D%3D&position=25&pageNum=27&trk=public_jobs_jserp-result_search-card
629,2023-04-18,Orizon,Mechatroniker (m/w/d),Sankt Georgen im Schwarzwald,https://de.linkedin.com/jobs/view/mechatroniker-m-w-d-at-orizon-3566990937?refId=npfiKa6C%2B9ULHNiQyOopUw%3D%3D&trackingId=wDZ1ZWg%2BGSJ5OV%2FlBnvBRQ%3D%3D&position=23&pageNum=9&trk=public_jobs_jserp-result_search-card
630,2022-10-07,WEBER GmbH,Entwicklungsingenieur:in (m/w/d),Aschaffenburg,https://de.linkedin.com/jobs/view/entwicklungsingenieur-in-m-w-d-at-weber-gmbh-3339878925?refId=Om%2Br0FEsgalhzmiK1nZsxw%3D%3D&trackingId=pzgmZN7D4nGvtAS7ZP3Jgg%3D%3D&position=15&pageNum=34&trk=public_jobs_jserp-result_search-card
631,2023-03-29,Wirtschafts- und Industrie Reserve GmbH,Mechatroniker (m/w/d),Berlin,https://de.linkedin.com/jobs/view/mechatroniker-m-w-d-at-wirtschafts-und-industrie-reserve-gmbh-3582339450?refId=lMM3c%2Ba4b0i4NAXra5%2BmQg%3D%3D&trackingId=yzUfQstlvY9%2BfDBCxKApZQ%3D%3D&position=25&pageNum=25&trk=public_jobs_jserp-result_search-card
632,2023-04-06,ACTIEF Personalmanagement GmbH,Mechatroniker (m/w/d) oder Elektriker (m/w/d) im Gerätebau,Rastatt,https://de.linkedin.com/jobs/view/mechatroniker-m-w-d-oder-elektriker-m-w-d-im-ger%C3%A4tebau-at-actief-personalmanagement-gmbh-3559291860?refId=rWhGtBxvR%2FAEGL7Rh2A57A%3D%3D&trackingId=l1xGPD3j533aB%2FoFeRgsVw%3D%3D&position=23&pageNum=35&trk=public_jobs_jserp-result_search-card
633,2023-04-20,Riverstate Premium Recruiting,Techn. Außendienstmitarbeiter / Sales Manager Robotik 70-100k (m/w/d),Nürnberg,https://de.linkedin.com/jobs/view/techn-au%C3%9Fendienstmitarbeiter-sales-manager-robotik-70-100k-m-w-d-at-riverstate-premium-recruiting-3573807932?refId=GoUyB0JGpzD%2BZjhNd%2BXA%2BQ%3D%3D&trackingId=Mb6KO1UodErUAc%2BtLzXGtA%3D%3D&position=3&pageNum=37&trk=public_jobs_jserp-result_search-card
634,2023-04-20,Riverstate Premium Recruiting,Techn. Außendienstmitarbeiter / Sales Manager Robotik 70-100k (m/w/d),Ingolstadt,https://de.linkedin.com/jobs/view/techn-au%C3%9Fendienstmitarbeiter-sales-manager-robotik-70-100k-m-w-d-at-riverstate-premium-recruiting-3573809313?refId=GoUyB0JGpzD%2BZjhNd%2BXA%2BQ%3D%3D&trackingId=ajIR0eOowe7XqFN4BPnCVA%3D%3D&position=4&pageNum=37&trk=public_jobs_jserp-result_search-card
635,2023-03-13,Procter & Gamble,Process & Technology Engineer (m/f/d),Kronberg im Taunus,https://de.linkedin.com/jobs/view/process-technology-engineer-m-f-d-at-procter-gamble-3525542504?refId=R%2BIUYtfKC4ujg%2Bcqv1jKYw%3D%3D&trackingId=OWYE4QQBWPzhqjxmk04wWg%3D%3D&position=1&pageNum=15&trk=public_jobs_jserp-result_search-card
636,2023-04-20,Orizon,Industriemechaniker (m/w/d) für die Siemens AG in Regensburg,Regensburg,https://de.linkedin.com/jobs/view/industriemechaniker-m-w-d-f%C3%BCr-die-siemens-ag-in-regensburg-at-orizon-3571733147?refId=qJWwQymwYLAn5wg1qF3k5g%3D%3D&trackingId=xtEo9IGOiQNSE2%2FAgsXmzA%3D%3D&position=5&pageNum=24&trk=public_jobs_jserp-result_search-card
637,2023-03-29,Stryker,Trainee Talent Program Robotics (m/w/d),Stuttgart,https://de.linkedin.com/jobs/view/trainee-talent-program-robotics-m-w-d-at-stryker-3581644146?refId=BbT84KCX9Bm4iNz3A%2FZtzA%3D%3D&trackingId=jaF7%2B1AgUDFIzvkprQwC%2Fg%3D%3D&position=15&pageNum=13&trk=public_jobs_jserp-result_search-card
638,2023-04-23,B.A.H. Personaldienste GmbH,Mechatroniker (m/w/d),Ludwigsburg,https://de.linkedin.com/jobs/view/mechatroniker-m-w-d-at-b-a-h-personaldienste-gmbh-3582530054?refId=IV3FDyQc4MJvv9mTDfJBsg%3D%3D&trackingId=MgdumcwKRfAH1KnaVf1RUQ%3D%3D&position=18&pageNum=33&trk=public_jobs_jserp-result_search-card
639,2023-03-01,Noyes Technologies GmbH,Talent Needed (m/f/x),München,https://de.linkedin.com/jobs/view/talent-needed-m-f-x-at-noyes-technologies-gmbh-3537795546?refId=6ztWOuAX0d9FUIWOqLL7tQ%3D%3D&trackingId=SRPxGt7%2FC9KGSHK8gt7CKg%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
640,2023-04-01,Orizon,Mechatroniker (m/w/d) Schaltschrankverdrahtung SIEMENS,Leipzig,https://de.linkedin.com/jobs/view/mechatroniker-m-w-d-schaltschrankverdrahtung-siemens-at-orizon-3545718254?refId=FY7C%2FGdyC%2BqGn%2BLe0RSAEA%3D%3D&trackingId=lyQa0DJFS%2Bh7XwanspJyGw%3D%3D&position=20&pageNum=22&trk=public_jobs_jserp-result_search-card
641,2023-03-31,MAN Truck & Bus SE,Internship in the field of autonomous driving: Safety (m/w/d),München,https://de.linkedin.com/jobs/view/internship-in-the-field-of-autonomous-driving-safety-m-w-d-at-man-truck-bus-se-3586365105?refId=npfiKa6C%2B9ULHNiQyOopUw%3D%3D&trackingId=5YShHG1HhDWm7FlTBhY9wg%3D%3D&position=8&pageNum=9&trk=public_jobs_jserp-result_search-card
642,2023-04-25,McKinsey & Company,Expert - Manufacturing Automation,Hamburg,https://de.linkedin.com/jobs/view/expert-manufacturing-automation-at-mckinsey-company-3399510100?refId=WNAEy%2FfivCR4hn9Ox0sDSA%3D%3D&trackingId=xVeq%2Bi4HNXwd8xh03WChww%3D%3D&position=19&pageNum=29&trk=public_jobs_jserp-result_search-card
643,2023-03-28,IPG Laser GmbH,Applikationsingenieur für Laseranwendungen (m/w/d) Schwerpunkt Schweißen,Burbach,https://de.linkedin.com/jobs/view/applikationsingenieur-f%C3%BCr-laseranwendungen-m-w-d-schwerpunkt-schwei%C3%9Fen-at-ipg-laser-gmbh-3575036607?refId=qJWwQymwYLAn5wg1qF3k5g%3D%3D&trackingId=1gi%2BEJ%2FugFUpuw5sDVK3ig%3D%3D&position=17&pageNum=24&trk=public_jobs_jserp-result_search-card
644,2023-04-18,MVI PROPLANT,Planer Automatisierungstechnik (m/w/d),Wolfsburg,https://de.linkedin.com/jobs/view/planer-automatisierungstechnik-m-w-d-at-mvi-proplant-3571032031?refId=HqqSQajOWHq2t%2B8FGx6uCw%3D%3D&trackingId=zCjOOkz44kUTwKcd4Cyd3w%3D%3D&position=19&pageNum=16&trk=public_jobs_jserp-result_search-card
645,2023-04-20,Wölfel Group,Software Developer IIoT / Vibration Systems (m/f/d),Höchberg,https://de.linkedin.com/jobs/view/software-developer-iiot-vibration-systems-m-f-d-at-w%C3%B6lfel-group-3572578228?refId=oCc1Cws5lW8cVjhIQiFp4A%3D%3D&trackingId=RvZuxd7d9bNsOsZ2vi4stQ%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
